,(1),(2),(3),(4),(5),,,,,,,,
,teen_preg,teen_preg,teen_preg,teen_preg,teen_preg,,,,(1),(2),(3),(4),(5)
,,,,,,,,,Fir_bir_age,Fir_bir_age,Fir_bir_age,Fir_bir_age,Fir_bir_age
past_group,-0.203***,-0.048***,-0.226***,-0.099***,-0.095***,,,,,,,,
,(0.013),(0.012),(0.013),(0.011),(0.011),,,past_group,2.286***,0.538***,2.483***,1.166***,1.125***
,,,,,,,,,(0.122),(0.101),(0.123),(0.068),(0.069)
TC_noborder,0.133***,0.061***,0.133***,0.068***,0.067***,,,,,,,,
,(0.013),(0.010),(0.013),(0.008),(0.008),,,TC_noborder,-1.157***,-0.400***,-1.160***,-0.485***,-0.472***
,,,,,,,,,(0.116),(0.076),(0.123),(0.049),(0.049)
Poorest,0.335***,0.143***,0.258***,0.032***,0.033***,,,,,,,,
,(0.013),(0.013),(0.014),(0.012),(0.012),,,Poorest,-3.078***,-1.338***,-2.404***,0.030,0.007
,,,,,,,,,(0.111),(0.102),(0.119),(0.066),(0.068)
Poorer,0.266***,0.099***,0.201***,0.027**,0.026**,,,,,,,,
,(0.013),(0.013),(0.014),(0.011),(0.011),,,Poorer,-2.548***,-1.016***,-1.976***,-0.116*,-0.125**
,,,,,,,,,(0.108),(0.095),(0.115),(0.061),(0.063)
Middle,0.192***,0.072***,0.141***,0.016,0.014,,,,,,,,
,(0.012),(0.012),(0.012),(0.010),(0.010),,,Middle,-1.921***,-0.799***,-1.463***,-0.107*,-0.098
,,,,,,,,,(0.106),(0.094),(0.112),(0.059),(0.060)
Richer,0.098***,0.027***,0.063***,-0.004,-0.005,,,,,,,,
,(0.010),(0.010),(0.011),(0.009),(0.009),,,Richer,-1.081***,-0.407***,-0.765***,-0.040,-0.030
,,,,,,,,,(0.094),(0.082),(0.096),(0.052),(0.053)
Respondent_work,-0.050***,0.005,-0.029***,0.017**,0.020***,,,,,,,,
,(0.008),(0.008),(0.008),(0.007),(0.007),,,Respondent_work,0.712***,0.181***,0.525***,0.032,0.010
,,,,,,,,,(0.083),(0.069),(0.076),(0.043),(0.042)
no_edu,,0.336***,,0.209***,0.186***,,,,,,,,
,,(0.011),,(0.010),(0.012),,,no_edu,,-3.035***,,-1.469***,-1.310***
,,,,,,,,,,(0.093),,(0.064),(0.072)
primary_edu,,0.340***,,0.226***,0.203***,,,,,,,,
,,(0.013),,(0.012),(0.013),,,primary_edu,,-3.009***,,-1.594***,-1.405***
,,,,,,,,,,(0.107),,(0.069),(0.074)
secondary_edu,,0.186***,,0.121***,0.105***,,,,,,,,
,,(0.007),,(0.007),(0.008),,,secondary_edu,,-1.873***,,-1.086***,-0.950***
,,,,,,,,,,(0.073),,(0.047),(0.054)
Res_age,,-0.027***,,-0.049***,-0.054***,,,,,,,,
,,(0.001),,(0.001),(0.001),,,Res_age,,0.310***,,0.582***,0.622***
,,,,,,,,,,(0.010),,(0.008),(0.008)
Husband_work,,,0.037,,0.014,,,,,,,,
,,,(0.027),,(0.023),,,Husband_work,,,-0.435,,-0.112
,,,,,,,,,,,(0.268),,(0.175)
Husband_no_education,,,0.182***,,0.029**,,,,,,,,
,,,(0.014),,(0.013),,,Husband_no_education,,,-1.601***,,-0.162**
,,,,,,,,,,,(0.106),,(0.068)
Husband_primary,,,0.172***,,0.035***,,,,,,,,
,,,(0.011),,(0.012),,,Husband_primary,,,-1.570***,,-0.309***
,,,,,,,,,,,(0.089),,(0.065)
Husband_secondary,,,0.106***,,0.023***,,,,,,,,
,,,(0.009),,(0.009),,,Husband_secondary,,,-1.004***,,-0.195***
,,,,,,,,,,,(0.071),,(0.049)
Husband_age,,,0.006***,,0.007***,,,,,,,,
,,,(0.001),,(0.001),,,Husband_age,,,-0.058***,,-0.059***
,,,,,,,,,,,(0.006),,(0.004)
Birth_order_number,,,,0.158***,0.153***,,,,,,,,
,,,,(0.002),(0.002),,,Birth_order_number,,,,-1.950***,-1.908***
,,,,,,,,,,,,(0.021),(0.021)
Religion,,,,0.003,0.004,,,,,,,,
,,,,(0.015),(0.015),,,Religion,,,,-0.080,-0.080
,,,,,,,,,,,,(0.082),(0.081)
Constant,0.130***,0.809***,-0.194***,1.163***,1.043***,,,,,,,,
,(0.010),(0.037),(0.037),(0.035),(0.042),,,Constant,23.335***,15.476***,26.407***,11.135***,12.113***
,,,,,,,,,(0.089),(0.314),(0.340),(0.226),(0.292)
Observations,38118,38118,37793,38087,37762,,,,,,,,
Adjusted R-squared,0.195,0.253,0.212,0.395,0.401,,,Observations,38118,38118,37793,38087,37762
,,,,,,,,Adjusted R-squared,0.279,0.366,0.299,0.689,0.696
Standard errors in parentheses,,,,,,,,,,,,,
"=""* p<0.10", ** p<0.05," *** p<0.01""",,,,,,Standard errors in parentheses,,,,,
,,,,,,,,"=""* p<0.10", ** p<0.05," *** p<0.01""",,,